"Time","pm1"
2025-02-18 13:30:00,1.25
2025-02-18 13:31:00,1.29
2025-02-18 13:32:00,1.34
2025-02-18 13:33:00,1.60
2025-02-18 13:34:00,1.58
2025-02-18 13:35:00,1.70
2025-02-18 13:36:00,1.62
2025-02-18 13:37:00,1.57
2025-02-18 13:38:00,1.47
2025-02-18 13:39:00,1.46
2025-02-18 13:40:00,1.42
2025-02-18 13:41:00,1.44
2025-02-18 13:42:00,1.45
2025-02-18 13:43:00,1.44
2025-02-18 13:44:00,1.54
2025-02-18 13:45:00,2.57
2025-02-18 13:46:00,3.12
2025-02-18 13:47:00,3.02
2025-02-18 13:48:00,3.09
2025-02-18 13:49:00,3.12
2025-02-18 13:50:00,2.81
2025-02-18 13:51:00,1.58
2025-02-18 13:52:00,3.54
2025-02-18 13:53:00,3.88
2025-02-18 13:54:00,4.14
2025-02-18 13:55:00,3.90
2025-02-18 13:56:00,3.97
2025-02-18 13:57:00,3.57
2025-02-18 13:58:00,4.91
2025-02-18 13:59:00,4.60
2025-02-18 14:00:00,4.28
2025-02-18 14:01:00,4.26
2025-02-18 14:02:00,4.35
2025-02-18 14:03:00,3.44
2025-02-18 14:04:00,2.06
2025-02-18 14:05:00,1.90
2025-02-18 14:06:00,1.97
2025-02-18 14:07:00,1.92
2025-02-18 14:08:00,1.92
2025-02-18 14:09:00,1.97
2025-02-18 14:10:00,2.48
2025-02-18 14:11:00,2.19
2025-02-18 14:12:00,2.17
2025-02-18 14:13:00,1.96
2025-02-18 14:14:00,2.12
2025-02-18 14:15:00,3.99
2025-02-18 14:16:00,4.67
2025-02-18 14:17:00,4.23
2025-02-18 14:18:00,2.96
2025-02-18 14:19:00,2.54
2025-02-18 14:20:00,3.23
2025-02-18 14:21:00,4.29
2025-02-18 14:22:00,3.99
2025-02-18 14:23:00,4.26
2025-02-18 14:24:00,4.31
2025-02-18 14:25:00,3.85
2025-02-18 14:26:00,4.16
2025-02-18 14:27:00,4.06
2025-02-18 14:28:00,3.88
2025-02-18 14:29:00,3.96
2025-02-18 14:30:00,3.99
2025-02-18 14:31:00,4.00
2025-02-18 14:32:00,3.77
2025-02-18 14:33:00,3.80
2025-02-18 14:34:00,3.88
2025-02-18 14:35:00,4.19
2025-02-18 14:36:00,3.94
2025-02-18 14:37:00,4.38
2025-02-18 14:38:00,3.66
2025-02-18 14:39:00,3.57
2025-02-18 14:40:00,3.36
2025-02-18 14:41:00,3.53
2025-02-18 14:42:00,3.24
2025-02-18 14:43:00,2.78
2025-02-18 14:44:00,2.87
2025-02-18 14:45:00,2.68
2025-02-18 14:46:00,3.98
2025-02-18 14:47:00,3.36
2025-02-18 14:48:00,2.90
2025-02-18 14:49:00,3.67
2025-02-18 14:50:00,4.09
2025-02-18 14:51:00,3.97
2025-02-18 14:52:00,3.96
2025-02-18 14:53:00,3.96
2025-02-18 14:54:00,3.91
2025-02-18 14:55:00,3.80
2025-02-18 14:56:00,4.14
2025-02-18 14:57:00,3.74
2025-02-18 14:58:00,3.53
2025-02-18 14:59:00,4.23
2025-02-18 15:00:00,4.53
2025-02-18 15:01:00,4.26
2025-02-18 15:02:00,4.08
2025-02-18 15:03:00,4.87
2025-02-18 15:04:00,4.90
2025-02-18 15:05:00,4.13
2025-02-18 15:06:00,4.39
2025-02-18 15:07:00,3.82
2025-02-18 15:08:00,4.38
2025-02-18 15:09:00,4.10
2025-02-18 15:10:00,4.52
2025-02-18 15:11:00,4.35
2025-02-18 15:12:00,4.33
2025-02-18 15:13:00,4.12
2025-02-18 15:14:00,4.05
2025-02-18 15:15:00,3.09
2025-02-18 15:16:00,1.86
2025-02-18 15:17:00,1.52
2025-02-18 15:18:00,1.42
2025-02-18 15:19:00,1.38
2025-02-18 15:20:00,1.95