timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 15:37:40,storage room,0.10,pantry,0.08,childs room,0.05,drugstore,0.05,ice cream parlor,0.04,indoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.08,Rustling leaves,0.01,Wind,0.00,sbahn,0.51,msub,0.34,tram,0.13,tram,0.32,bus,0.20,msub,0.16,1.00,-36.18
2025-02-15 15:37:45,trench,0.26,alley,0.09,train station/platform,0.08,forest path,0.07,street,0.05,outdoor,On Foot,89,Outdoor on Foot,Wind,0.06,"Inside, small room",0.04,"Outside, rural or natural",0.04,sbahn,0.52,bus,0.38,osub,0.06,tram,0.30,bus,0.22,train,0.16,0.26,-40.63
2025-02-15 15:37:50,lock chamber,0.13,forest road,0.10,highway,0.07,alley,0.05,parking lot,0.03,outdoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.06,"Boat, Water vehicle",0.00,"Outside, urban or manmade",0.00,msub,0.38,tram,0.26,sbahn,0.24,bus,0.39,tram,0.16,train,0.15,0.12,-37.61
2025-02-15 15:37:55,street,0.32,alley,0.26,promenade,0.04,driveway,0.02,parking lot,0.01,outdoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.06,"Outside, urban or manmade",0.01,Rustling leaves,0.00,sbahn,0.76,osub,0.19,tram,0.04,tram,0.27,bus,0.24,msub,0.17,0.66,-35.99
2025-02-15 15:38:00,street,0.32,alley,0.26,promenade,0.04,driveway,0.02,parking lot,0.01,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.04,"Inside, small room",0.01,Cricket,0.00,sbahn,0.52,msub,0.30,osub,0.07,msub,0.31,bus,0.20,tram,0.17,0.72,-39.05
2025-02-15 15:38:05,street,0.52,crosswalk,0.13,residential neighborhood,0.05,downtown,0.04,parking lot,0.03,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,"Cutlery, silverware",0.00,msub,0.97,sbahn,0.02,tram,0.01,msub,0.31,bus,0.20,tram,0.17,0.96,-22.67
2025-02-15 15:38:10,street,0.62,residential neighborhood,0.09,promenade,0.08,crosswalk,0.08,parking lot,0.02,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,"Inside, small room",0.00,sbahn,0.89,osub,0.11,e-bus,0.00,bus,0.29,train,0.21,tram,0.18,1.14,-32.63
2025-02-15 15:38:15,street,0.42,parking lot,0.22,residential neighborhood,0.05,alley,0.04,driveway,0.04,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.00,Wind,0.00,sbahn,0.73,osub,0.16,tram,0.07,bus,0.38,tram,0.16,msub,0.15,1.13,-35.30
2025-02-15 15:38:20,raceway,0.27,parking lot,0.23,train station/platform,0.10,street,0.08,parking garage/indoor,0.07,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,Bird,0.00,sbahn,0.76,tram,0.10,osub,0.07,bus,0.26,msub,0.25,tram,0.17,1.05,-33.78
2025-02-15 15:38:25,alley,0.18,driveway,0.18,forest road,0.17,street,0.11,forest path,0.10,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.04,Rustling leaves,0.01,Wind,0.01,sbahn,0.59,msub,0.22,tram,0.14,bus,0.32,msub,0.20,tram,0.16,1.15,-38.55
2025-02-15 15:38:30,promenade,0.23,parking lot,0.11,alley,0.09,street,0.09,driveway,0.05,outdoor,On Foot,97,Outdoor on Foot,Rustling leaves,0.20,"Outside, rural or natural",0.15,Wind,0.08,msub,0.64,sbahn,0.34,tram,0.02,bus,0.37,msub,0.16,train,0.16,1.13,-44.83
2025-02-15 15:38:35,street,0.56,forest road,0.13,residential neighborhood,0.12,highway,0.04,parking lot,0.04,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.06,"Outside, urban or manmade",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.94,sbahn,0.03,tram,0.01,bus,0.37,tram,0.17,osub,0.15,1.23,-34.70
2025-02-15 15:38:40,picnic area,0.55,cemetery,0.13,park,0.05,campsite,0.03,parking lot,0.03,outdoor,On Foot,91,Outdoor on Foot,"Outside, rural or natural",0.11,Cricket,0.04,Rustling leaves,0.02,sbahn,0.50,msub,0.28,tram,0.20,bus,0.39,train,0.16,tram,0.15,1.11,-42.17
2025-02-15 15:38:45,picnic area,0.55,cemetery,0.13,park,0.05,campsite,0.03,parking lot,0.03,outdoor,On Foot,91,Outdoor on Foot,Bird,0.20,"Outside, rural or natural",0.04,"Pigeon, dove",0.03,msub,0.62,sbahn,0.31,tram,0.07,bus,0.40,tram,0.15,train,0.15,1.10,-44.16
2025-02-15 15:38:50,street,0.17,alley,0.16,forest road,0.10,driveway,0.09,promenade,0.07,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.08,Wind,0.02,sbahn,0.80,tram,0.14,osub,0.03,bus,0.40,tram,0.15,train,0.15,1.14,-44.57
2025-02-15 15:38:55,street,0.18,forest road,0.11,driveway,0.09,forest path,0.08,alley,0.07,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.15,Bird,0.01,Rustling leaves,0.01,sbahn,0.54,msub,0.32,tram,0.10,bus,0.36,tram,0.18,msub,0.15,1.22,-42.92
2025-02-15 15:39:00,boardwalk,0.12,parking lot,0.11,driveway,0.09,canal/urban,0.09,promenade,0.08,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.08,"Inside, small room",0.03,sbahn,0.80,msub,0.16,tram,0.02,bus,0.40,tram,0.15,train,0.15,1.09,-46.53
2025-02-15 15:39:05,canal/urban,0.38,lock chamber,0.08,canal/natural,0.07,driveway,0.05,street,0.04,outdoor,Unknown,40,Outdoor on Foot,"Inside, small room",0.06,"Outside, rural or natural",0.03,Wind,0.00,sbahn,0.80,msub,0.12,tram,0.07,bus,0.35,train,0.19,tram,0.16,0.99,-43.40
2025-02-15 15:39:10,parking lot,0.18,street,0.14,alley,0.11,driveway,0.08,trench,0.08,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.01,Wind,0.00,msub,0.79,tram,0.10,sbahn,0.09,bus,0.38,tram,0.16,train,0.16,1.13,-41.62
2025-02-15 15:39:15,promenade,0.31,alley,0.13,driveway,0.13,street,0.05,zen garden,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.02,Rustling leaves,0.02,Wind,0.02,msub,0.79,sbahn,0.17,osub,0.02,bus,0.38,train,0.16,msub,0.15,1.13,-31.78
2025-02-15 15:39:20,trench,0.21,alley,0.16,promenade,0.07,lock chamber,0.07,driveway,0.07,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.08,Rustling leaves,0.01,Wind,0.00,sbahn,0.53,msub,0.24,tram,0.16,bus,0.34,train,0.18,msub,0.16,1.13,-34.14
2025-02-15 15:39:25,street,0.31,downtown,0.18,parking lot,0.13,crosswalk,0.08,residential neighborhood,0.07,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.08,Bird,0.01,Rustling leaves,0.01,msub,0.74,sbahn,0.20,tram,0.05,bus,0.39,train,0.15,tram,0.15,1.10,-42.35
2025-02-15 15:39:30,street,0.31,downtown,0.18,parking lot,0.13,crosswalk,0.08,residential neighborhood,0.07,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.06,"Inside, small room",0.06,Rustling leaves,0.03,sbahn,0.85,msub,0.13,tram,0.01,bus,0.39,train,0.15,tram,0.15,1.11,-50.41
2025-02-15 15:39:35,driveway,0.28,crosswalk,0.20,street,0.10,promenade,0.05,dam,0.03,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.11,Wind,0.06,msub,0.68,sbahn,0.18,tram,0.10,train,0.40,bus,0.15,msub,0.15,1.11,-44.37
2025-02-15 15:39:40,parking lot,0.61,street,0.10,crosswalk,0.08,highway,0.06,raceway,0.04,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.08,Wind,0.03,msub,0.93,sbahn,0.05,tram,0.01,train,0.30,bus,0.23,tram,0.16,1.23,-43.54
2025-02-15 15:39:45,alley,0.47,street,0.23,driveway,0.04,slum,0.04,parking lot,0.02,outdoor,On Foot,98,Outdoor on Foot,"Inside, small room",0.06,"Outside, rural or natural",0.03,"Outside, urban or manmade",0.02,sbahn,0.51,e-bus,0.28,bus,0.10,bus,0.38,train,0.16,tram,0.15,1.20,-41.31
2025-02-15 15:39:50,industrial area,0.26,construction site,0.14,water tower,0.11,skyscraper,0.05,tower,0.04,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,"Inside, small room",0.02,msub,0.62,sbahn,0.29,tram,0.07,tram,0.26,train,0.20,bus,0.19,1.18,-47.87
2025-02-15 15:39:55,fire escape,0.24,bank vault,0.22,apartment building/outdoor,0.07,downtown,0.06,jail cell,0.05,outdoor,On Foot,99,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.06,Wind,0.02,msub,0.99,tram,0.01,sbahn,0.01,train,0.27,bus,0.21,tram,0.18,1.19,-44.95
2025-02-15 15:40:00,phone booth,0.42,alley,0.15,street,0.09,apartment building/outdoor,0.05,building facade,0.04,outdoor,On Foot,99,Outdoor on Foot,"Outside, rural or natural",0.04,"Outside, urban or manmade",0.02,Bird,0.02,msub,0.87,tram,0.06,sbahn,0.04,train,0.28,bus,0.20,tram,0.20,1.19,-40.00
2025-02-15 15:40:05,residential neighborhood,0.16,street,0.14,industrial area,0.14,alley,0.11,parking lot,0.04,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,Wind,0.03,msub,1.00,sbahn,0.00,tram,0.00,bus,0.36,tram,0.17,osub,0.16,1.17,-37.22
2025-02-15 15:40:10,street,0.80,alley,0.05,residential neighborhood,0.03,forest road,0.01,promenade,0.01,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.08,Wind,0.04,msub,1.00,sbahn,0.00,tram,0.00,bus,0.40,tram,0.15,train,0.15,1.28,-39.11
2025-02-15 15:40:15,forest/broadleaf,0.53,forest road,0.15,forest path,0.11,rainforest,0.03,tree farm,0.02,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.02,"Outside, urban or manmade",0.02,msub,0.76,sbahn,0.12,tram,0.07,bus,0.39,tram,0.15,msub,0.15,1.22,-43.23
2025-02-15 15:40:20,forest/broadleaf,0.53,forest road,0.15,forest path,0.11,rainforest,0.03,tree farm,0.02,outdoor,On Foot,97,Outdoor on Foot,"Inside, small room",0.15,"Outside, rural or natural",0.03,"Outside, urban or manmade",0.01,bus,0.44,sbahn,0.44,e-bus,0.05,bus,0.36,train,0.17,osub,0.16,1.25,-39.08
2025-02-15 15:40:25,tower,0.09,mansion,0.07,castle,0.06,industrial area,0.06,downtown,0.05,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,"Inside, small room",0.01,sbahn,0.64,e-bus,0.16,osub,0.07,bus,0.36,train,0.17,osub,0.16,1.29,-33.63
2025-02-15 15:40:30,swamp,0.15,moat/water,0.12,lake/natural,0.07,canal/natural,0.07,tree house,0.07,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.06,"Outside, urban or manmade",0.02,Rustling leaves,0.02,msub,0.73,sbahn,0.11,tram,0.10,bus,0.37,tram,0.17,osub,0.16,1.06,-23.65
2025-02-15 15:40:35,residential neighborhood,0.44,street,0.21,highway,0.06,parking lot,0.04,downtown,0.03,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.06,"Outside, urban or manmade",0.02,Bird,0.00,sbahn,0.88,osub,0.09,tram,0.02,tram,0.26,bus,0.25,msub,0.17,1.14,-30.61
2025-02-15 15:40:40,street,0.63,crosswalk,0.12,parking lot,0.05,construction site,0.02,alley,0.02,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.06,Bird,0.00,"Outside, urban or manmade",0.00,sbahn,0.46,msub,0.33,osub,0.11,msub,0.30,train,0.21,tram,0.17,1.22,-34.52
2025-02-15 15:40:45,residential neighborhood,0.30,crosswalk,0.09,street,0.08,downtown,0.05,campus,0.04,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.08,Cricket,0.01,"Outside, urban or manmade",0.01,msub,0.49,sbahn,0.36,tram,0.13,bus,0.35,tram,0.18,train,0.16,1.05,-30.57
2025-02-15 15:40:50,residential neighborhood,0.16,castle,0.09,industrial area,0.05,palace,0.05,construction site,0.04,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.11,Cricket,0.01,Rustling leaves,0.00,msub,0.78,osub,0.08,tram,0.07,train,0.22,bus,0.22,tram,0.22,1.00,-35.61
2025-02-15 15:40:55,slum,0.57,alley,0.09,kennel/outdoor,0.08,construction site,0.04,landfill,0.01,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.02,Wind,0.00,Rustling leaves,0.00,msub,0.51,sbahn,0.36,tram,0.11,msub,0.32,bus,0.18,train,0.18,0.88,-41.48
2025-02-15 15:41:00,bazaar/outdoor,0.12,army base,0.10,landing deck,0.07,market/outdoor,0.05,parking lot,0.05,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.06,Wind,0.03,msub,0.70,tram,0.10,sbahn,0.10,tram,0.29,bus,0.23,msub,0.16,1.09,-44.88
